City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,xiva,41.3783,60.3639,20.99,30,99,8.88,UZ,1711401446
1,talnakh,69.4865,88.3972,-36.43,99,48,2.44,RU,1711401447
2,meadow lake,34.8014,-106.5436,11.86,36,100,8.0,US,1711401448
3,dul'durga,50.6761,113.5931,-3.07,61,17,0.85,RU,1711401450
4,port-aux-francais,-49.35,70.2167,3.77,75,98,14.45,TF,1711401451
5,adamstown,-25.066,-130.1015,25.33,77,68,5.46,PN,1711401452
6,grand falls-windsor,48.9332,-55.6649,1.39,37,71,0.89,CA,1711401453
7,beloyarskiy,63.7119,66.6722,-18.89,99,100,1.79,RU,1711401455
8,bethel,41.3712,-73.414,12.02,39,0,5.14,US,1711401080
9,blackmans bay,-43.0167,147.3167,14.07,71,100,5.53,AU,1711401457
10,olonkinbyen,70.9221,-8.7187,-3.22,68,84,7.25,SJ,1711401458
11,kabansk,52.0486,106.6528,-3.92,85,9,1.52,RU,1711401460
12,ola,59.5833,151.2833,-14.59,94,34,2.4,RU,1711401461
13,grytviken,-54.2811,-36.5092,2.42,97,100,5.26,GS,1711401462
14,dunedin,-45.8742,170.5036,11.56,64,8,0.89,NZ,1711401273
15,touros,-5.1989,-35.4608,27.86,76,98,4.19,BR,1711401465
16,lewistown,40.5992,-77.5714,14.55,60,0,4.63,US,1711401466
17,cabedelo,-6.9811,-34.8339,29.37,78,78,4.27,BR,1711401467
18,dudinka,69.4058,86.1778,-39.07,100,43,1.34,RU,1711401091
19,embi,48.8264,58.1442,7.47,82,98,8.25,KZ,1711401470
20,yellowknife,62.456,-114.3525,-3.1,77,100,8.05,CA,1711401097
21,waitangi,-43.9535,-176.5597,17.12,92,100,2.24,NZ,1711401117
22,ilulissat,69.2167,-51.1,4.01,45,20,7.72,GL,1711401142
23,mount gambier,-37.8333,140.7667,15.34,68,100,2.63,AU,1711401390
24,edinburgh of the seven seas,-37.0676,-12.3116,15.73,57,97,4.64,SH,1711401476
25,naze,28.3667,129.4833,20.23,90,24,9.21,JP,1711401329
26,saipan,15.1355,145.701,27.03,1,40,7.72,MP,1711401085
27,jayapura,-2.5333,140.7,23.66,93,72,2.0,ID,1711401479
28,puerto ayora,-0.7393,-90.3518,27.53,94,51,0.45,EC,1711401481
29,banda aceh,5.5577,95.3222,26.93,80,63,1.89,ID,1711401482
30,avarua,-21.2078,-159.775,30.03,79,20,6.17,CK,1711401214
31,namibe,-15.1961,12.1522,26.83,68,17,3.68,AO,1711401484
32,ancud,-41.8697,-73.8203,14.89,85,100,3.11,CL,1711401255
33,prince rupert,54.3161,-130.3201,6.11,90,100,1.95,CA,1711401394
34,mccook,40.2019,-100.6257,-1.97,78,100,12.35,US,1711401488
35,fort st. john,56.2499,-120.8529,3.35,52,19,4.08,CA,1711401221
36,punta arenas,-53.15,-70.9167,16.06,72,40,6.17,CL,1711401481
37,portel,-1.9356,-50.8211,25.54,94,100,1.68,BR,1711401492
38,sao vicente,-23.9631,-46.3919,26.1,54,52,1.34,BR,1711401294
39,whitehorse,60.7161,-135.0538,6.01,48,66,4.47,CA,1711401243
40,tazacorte,28.629,-17.9293,18.54,88,20,7.2,ES,1711401495
41,ust'-ilimsk,58.0006,102.6619,-0.87,90,100,5.36,RU,1711401497
42,longyearbyen,78.2186,15.6401,-20.09,71,0,1.03,SJ,1711401098
43,vorgashor,67.5833,63.95,-28.24,96,18,2.45,RU,1711401251
44,albany,42.6001,-73.9662,8.36,53,29,0.89,US,1711400625
45,cidreira,-30.1811,-50.2056,22.99,79,22,5.29,BR,1711401502
46,hawaiian paradise park,19.5933,-154.9731,25.73,81,100,0.89,US,1711401503
47,badger,64.8,-147.5333,5.21,55,75,1.54,US,1711401222
48,anadyr,64.75,177.4833,-26.67,75,20,10.0,RU,1711401214
49,santa elena de uairen,4.6167,-61.1333,27.13,57,99,3.31,VE,1711401507
